// Validating benchmarks:
No exporters defined, results will not be persisted.
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 2 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:03 (3.46 sec)   *****
// Found 4 benchmarks:
//   MemoryDiagnoser.lst: Job-YMSZYJ(Toolchain=InProcessEmitToolchain)
//   MemoryDiagnoser.arr: Job-YMSZYJ(Toolchain=InProcessEmitToolchain)
//   MemoryDiagnoser.lst: .NET Core 3.1(Runtime=.NET Core 3.1)
//   MemoryDiagnoser.arr: .NET Core 3.1(Runtime=.NET Core 3.1)

// **************************
// Benchmark: MemoryDiagnoser.lst: Job-YMSZYJ(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1
// ! Failed to set up priority High for process System.Diagnostics.Process (dotnet). Make sure you have the right permissions. Message: Permission denied

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.8 (CoreCLR 4.700.20.41105, CoreFX 4.700.20.41903), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-YMSZYJ(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 288184.00 ns, 288.1840 us/op
WorkloadJitting  1: 1 op, 227953.00 ns, 227.9530 us/op

OverheadJitting  2: 16 op, 1176231.00 ns, 73.5144 us/op
WorkloadJitting  2: 16 op, 792587.00 ns, 49.5367 us/op

WorkloadPilot    1: 16 op, 3541.00 ns, 221.3125 ns/op
WorkloadPilot    2: 32 op, 2325.00 ns, 72.6562 ns/op
WorkloadPilot    3: 64 op, 2629.00 ns, 41.0781 ns/op
WorkloadPilot    4: 128 op, 3790.00 ns, 29.6094 ns/op
WorkloadPilot    5: 256 op, 7093.00 ns, 27.7070 ns/op
WorkloadPilot    6: 512 op, 44138.00 ns, 86.2070 ns/op
WorkloadPilot    7: 1024 op, 88417.00 ns, 86.3447 ns/op
WorkloadPilot    8: 2048 op, 72001.00 ns, 35.1567 ns/op
WorkloadPilot    9: 4096 op, 175085.00 ns, 42.7454 ns/op
