// Validating benchmarks:
No exporters defined, results will not be persisted.
WorkloadPilot   10: 8192 op, 471494.00 ns, 57.5554 ns/op
WorkloadPilot   11: 16384 op, 1198074.00 ns, 73.1246 ns/op
WorkloadPilot   12: 32768 op, 2195743.00 ns, 67.0088 ns/op
WorkloadPilot   13: 65536 op, 2144353.00 ns, 32.7202 ns/op
WorkloadPilot   14: 131072 op, 3962020.00 ns, 30.2278 ns/op
WorkloadPilot   15: 262144 op, 9664336.00 ns, 36.8665 ns/op
WorkloadPilot   16: 524288 op, 14263978.00 ns, 27.2064 ns/op
WorkloadPilot   17: 1048576 op, 26404229.00 ns, 25.1810 ns/op
WorkloadPilot   18: 2097152 op, 49855764.00 ns, 23.7731 ns/op
WorkloadPilot   19: 4194304 op, 100844063.00 ns, 24.0431 ns/op
WorkloadPilot   20: 8388608 op, 203056254.00 ns, 24.2062 ns/op
WorkloadPilot   21: 16777216 op, 396425284.00 ns, 23.6288 ns/op
WorkloadPilot   22: 33554432 op, 792760535.00 ns, 23.6261 ns/op

OverheadWarmup   1: 33554432 op, 133276837.00 ns, 3.9720 ns/op
OverheadWarmup   2: 33554432 op, 138449181.00 ns, 4.1261 ns/op
OverheadWarmup   3: 33554432 op, 135009036.00 ns, 4.0236 ns/op
OverheadWarmup   4: 33554432 op, 137362224.00 ns, 4.0937 ns/op
OverheadWarmup   5: 33554432 op, 138263623.00 ns, 4.1206 ns/op
OverheadWarmup   6: 33554432 op, 139347125.00 ns, 4.1529 ns/op
OverheadWarmup   7: 33554432 op, 137118696.00 ns, 4.0865 ns/op

OverheadActual   1: 33554432 op, 135122936.00 ns, 4.0270 ns/op
OverheadActual   2: 33554432 op, 136489984.00 ns, 4.0677 ns/op
OverheadActual   3: 33554432 op, 141320101.00 ns, 4.2117 ns/op
OverheadActual   4: 33554432 op, 135210613.00 ns, 4.0296 ns/op
OverheadActual   5: 33554432 op, 134182310.00 ns, 3.9989 ns/op
OverheadActual   6: 33554432 op, 134116810.00 ns, 3.9970 ns/op
OverheadActual   7: 33554432 op, 134295176.00 ns, 4.0023 ns/op
OverheadActual   8: 33554432 op, 134601783.00 ns, 4.0114 ns/op
OverheadActual   9: 33554432 op, 136962883.00 ns, 4.0818 ns/op
OverheadActual  10: 33554432 op, 135121108.00 ns, 4.0269 ns/op
OverheadActual  11: 33554432 op, 135548424.00 ns, 4.0397 ns/op
OverheadActual  12: 33554432 op, 138047249.00 ns, 4.1141 ns/op
OverheadActual  13: 33554432 op, 136148364.00 ns, 4.0575 ns/op
OverheadActual  14: 33554432 op, 135643526.00 ns, 4.0425 ns/op
OverheadActual  15: 33554432 op, 132781162.00 ns, 3.9572 ns/op

WorkloadWarmup   1: 33554432 op, 845054933.00 ns, 25.1846 ns/op
WorkloadWarmup   2: 33554432 op, 960397332.00 ns, 28.6221 ns/op
WorkloadWarmup   3: 33554432 op, 979219707.00 ns, 29.1830 ns/op
WorkloadWarmup   4: 33554432 op, 864518670.00 ns, 25.7647 ns/op
WorkloadWarmup   5: 33554432 op, 810016739.00 ns, 24.1404 ns/op
WorkloadWarmup   6: 33554432 op, 846814796.00 ns, 25.2370 ns/op
WorkloadWarmup   7: 33554432 op, 815255034.00 ns, 24.2965 ns/op

WorkloadActual   1: 33554432 op, 880138074.00 ns, 26.2302 ns/op
WorkloadActual   2: 33554432 op, 821070505.00 ns, 24.4698 ns/op
WorkloadActual   3: 33554432 op, 797588212.00 ns, 23.7700 ns/op
WorkloadActual   4: 33554432 op, 796607692.00 ns, 23.7408 ns/op
WorkloadActual   5: 33554432 op, 798148503.00 ns, 23.7867 ns/op
WorkloadActual   6: 33554432 op, 870938861.00 ns, 25.9560 ns/op
WorkloadActual   7: 33554432 op, 886449006.00 ns, 26.4182 ns/op
WorkloadActual   8: 33554432 op, 866963275.00 ns, 25.8375 ns/op
WorkloadActual   9: 33554432 op, 859413344.00 ns, 25.6125 ns/op
WorkloadActual  10: 33554432 op, 892966826.00 ns, 26.6125 ns/op
WorkloadActual  11: 33554432 op, 872220079.00 ns, 25.9942 ns/op
WorkloadActual  12: 33554432 op, 889342663.00 ns, 26.5045 ns/op
WorkloadActual  13: 33554432 op, 888941857.00 ns, 26.4925 ns/op
WorkloadActual  14: 33554432 op, 907758985.00 ns, 27.0533 ns/op
WorkloadActual  15: 33554432 op, 885875847.00 ns, 26.4012 ns/op
WorkloadActual  16: 33554432 op, 879220039.00 ns, 26.2028 ns/op
WorkloadActual  17: 33554432 op, 915450722.00 ns, 27.2826 ns/op
WorkloadActual  18: 33554432 op, 911044188.00 ns, 27.1512 ns/op
WorkloadActual  19: 33554432 op, 910340531.00 ns, 27.1303 ns/op
WorkloadActual  20: 33554432 op, 905037220.00 ns, 26.9722 ns/op
WorkloadActual  21: 33554432 op, 910253209.00 ns, 27.1277 ns/op
WorkloadActual  22: 33554432 op, 903683041.00 ns, 26.9319 ns/op
WorkloadActual  23: 33554432 op, 905332589.00 ns, 26.9810 ns/op
WorkloadActual  24: 33554432 op, 912150720.00 ns, 27.1842 ns/op
WorkloadActual  25: 33554432 op, 925448291.00 ns, 27.5805 ns/op
WorkloadActual  26: 33554432 op, 954600954.00 ns, 28.4493 ns/op
WorkloadActual  27: 33554432 op, 975268849.00 ns, 29.0653 ns/op
WorkloadActual  28: 33554432 op, 1016989055.00 ns, 30.3086 ns/op
WorkloadActual  29: 33554432 op, 1027358991.00 ns, 30.6177 ns/op
WorkloadActual  30: 33554432 op, 1061352743.00 ns, 31.6308 ns/op
WorkloadActual  31: 33554432 op, 1096618890.00 ns, 32.6818 ns/op
WorkloadActual  32: 33554432 op, 1210589467.00 ns, 36.0784 ns/op
WorkloadActual  33: 33554432 op, 1174857576.00 ns, 35.0135 ns/op
WorkloadActual  34: 33554432 op, 1086666544.00 ns, 32.3852 ns/op
WorkloadActual  35: 33554432 op, 1116673309.00 ns, 33.2795 ns/op
WorkloadActual  36: 33554432 op, 1059776556.00 ns, 31.5838 ns/op
WorkloadActual  37: 33554432 op, 1052567194.00 ns, 31.3689 ns/op
WorkloadActual  38: 33554432 op, 1079183391.00 ns, 32.1622 ns/op
WorkloadActual  39: 33554432 op, 1046759015.00 ns, 31.1958 ns/op
WorkloadActual  40: 33554432 op, 1027236238.00 ns, 30.6140 ns/op
WorkloadActual  41: 33554432 op, 1087804636.00 ns, 32.4191 ns/op
WorkloadActual  42: 33554432 op, 1077640058.00 ns, 32.1162 ns/op
WorkloadActual  43: 33554432 op, 1042675354.00 ns, 31.0741 ns/op
WorkloadActual  44: 33554432 op, 1032775683.00 ns, 30.7791 ns/op
WorkloadActual  45: 33554432 op, 1022539470.00 ns, 30.4741 ns/op
WorkloadActual  46: 33554432 op, 1020889243.00 ns, 30.4249 ns/op
WorkloadActual  47: 33554432 op, 1044856720.00 ns, 31.1392 ns/op
WorkloadActual  48: 33554432 op, 1029191220.00 ns, 30.6723 ns/op
WorkloadActual  49: 33554432 op, 1018266579.00 ns, 30.3467 ns/op
WorkloadActual  50: 33554432 op, 990669878.00 ns, 29.5243 ns/op
WorkloadActual  51: 33554432 op, 989328449.00 ns, 29.4843 ns/op
WorkloadActual  52: 33554432 op, 997297335.00 ns, 29.7218 ns/op
WorkloadActual  53: 33554432 op, 996424687.00 ns, 29.6958 ns/op
WorkloadActual  54: 33554432 op, 986373375.00 ns, 29.3962 ns/op
WorkloadActual  55: 33554432 op, 978711135.00 ns, 29.1679 ns/op
WorkloadActual  56: 33554432 op, 1035553134.00 ns, 30.8619 ns/op
WorkloadActual  57: 33554432 op, 1008218547.00 ns, 30.0473 ns/op
WorkloadActual  58: 33554432 op, 968117585.00 ns, 28.8522 ns/op
WorkloadActual  59: 33554432 op, 1022463690.00 ns, 30.4718 ns/op
WorkloadActual  60: 33554432 op, 988732308.00 ns, 29.4665 ns/op
WorkloadActual  61: 33554432 op, 995983877.00 ns, 29.6826 ns/op
WorkloadActual  62: 33554432 op, 970115797.00 ns, 28.9117 ns/op
WorkloadActual  63: 33554432 op, 993678192.00 ns, 29.6139 ns/op
WorkloadActual  64: 33554432 op, 992331953.00 ns, 29.5738 ns/op
WorkloadActual  65: 33554432 op, 988205500.00 ns, 29.4508 ns/op
WorkloadActual  66: 33554432 op, 1013945002.00 ns, 30.2179 ns/op
WorkloadActual  67: 33554432 op, 1046847597.00 ns, 31.1985 ns/op
WorkloadActual  68: 33554432 op, 962147439.00 ns, 28.6742 ns/op
WorkloadActual  69: 33554432 op, 940806951.00 ns, 28.0382 ns/op
WorkloadActual  70: 33554432 op, 946075751.00 ns, 28.1953 ns/op
WorkloadActual  71: 33554432 op, 950713341.00 ns, 28.3335 ns/op
WorkloadActual  72: 33554432 op, 959787350.00 ns, 28.6039 ns/op
WorkloadActual  73: 33554432 op, 947625632.00 ns, 28.2414 ns/op
WorkloadActual  74: 33554432 op, 959817075.00 ns, 28.6048 ns/op
WorkloadActual  75: 33554432 op, 982878049.00 ns, 29.2920 ns/op
WorkloadActual  76: 33554432 op, 1009124372.00 ns, 30.0742 ns/op
WorkloadActual  77: 33554432 op, 1272406226.00 ns, 37.9207 ns/op
WorkloadActual  78: 33554432 op, 1183775944.00 ns, 35.2793 ns/op
WorkloadActual  79: 33554432 op, 1058958822.00 ns, 31.5594 ns/op
WorkloadActual  80: 33554432 op, 991684829.00 ns, 29.5545 ns/op
WorkloadActual  81: 33554432 op, 1062612882.00 ns, 31.6683 ns/op
WorkloadActual  82: 33554432 op, 1024732696.00 ns, 30.5394 ns/op
WorkloadActual  83: 33554432 op, 999734731.00 ns, 29.7944 ns/op
WorkloadActual  84: 33554432 op, 1007617903.00 ns, 30.0294 ns/op
WorkloadActual  85: 33554432 op, 1039371809.00 ns, 30.9757 ns/op
WorkloadActual  86: 33554432 op, 1279508812.00 ns, 38.1323 ns/op
WorkloadActual  87: 33554432 op, 1182560079.00 ns, 35.2430 ns/op
WorkloadActual  88: 33554432 op, 1086355350.00 ns, 32.3759 ns/op
WorkloadActual  89: 33554432 op, 1121774756.00 ns, 33.4315 ns/op
WorkloadActual  90: 33554432 op, 1133114922.00 ns, 33.7695 ns/op
WorkloadActual  91: 33554432 op, 1101489392.00 ns, 32.8269 ns/op
WorkloadActual  92: 33554432 op, 1117279755.00 ns, 33.2975 ns/op
WorkloadActual  93: 33554432 op, 1089745022.00 ns, 32.4769 ns/op
WorkloadActual  94: 33554432 op, 1109828191.00 ns, 33.0755 ns/op
WorkloadActual  95: 33554432 op, 1069360927.00 ns, 31.8694 ns/op
WorkloadActual  96: 33554432 op, 1085445167.00 ns, 32.3488 ns/op
WorkloadActual  97: 33554432 op, 1211107566.00 ns, 36.0938 ns/op
WorkloadActual  98: 33554432 op, 1074923624.00 ns, 32.0352 ns/op
WorkloadActual  99: 33554432 op, 1100605396.00 ns, 32.8006 ns/op
WorkloadActual  100: 33554432 op, 1052746744.00 ns, 31.3743 ns/op

WorkloadResult   1: 33554432 op, 744927461.00 ns, 22.2006 ns/op
WorkloadResult   2: 33554432 op, 685859892.00 ns, 20.4402 ns/op
WorkloadResult   3: 33554432 op, 662377599.00 ns, 19.7404 ns/op
WorkloadResult   4: 33554432 op, 661397079.00 ns, 19.7112 ns/op
WorkloadResult   5: 33554432 op, 662937890.00 ns, 19.7571 ns/op
WorkloadResult   6: 33554432 op, 735728248.00 ns, 21.9264 ns/op
WorkloadResult   7: 33554432 op, 751238393.00 ns, 22.3886 ns/op
WorkloadResult   8: 33554432 op, 731752662.00 ns, 21.8079 ns/op
WorkloadResult   9: 33554432 op, 724202731.00 ns, 21.5829 ns/op
WorkloadResult  10: 33554432 op, 757756213.00 ns, 22.5829 ns/op
WorkloadResult  11: 33554432 op, 737009466.00 ns, 21.9646 ns/op
WorkloadResult  12: 33554432 op, 754132050.00 ns, 22.4749 ns/op
WorkloadResult  13: 33554432 op, 753731244.00 ns, 22.4629 ns/op
WorkloadResult  14: 33554432 op, 772548372.00 ns, 23.0237 ns/op
WorkloadResult  15: 33554432 op, 750665234.00 ns, 22.3716 ns/op
WorkloadResult  16: 33554432 op, 744009426.00 ns, 22.1732 ns/op
WorkloadResult  17: 33554432 op, 780240109.00 ns, 23.2530 ns/op
WorkloadResult  18: 33554432 op, 775833575.00 ns, 23.1216 ns/op
WorkloadResult  19: 33554432 op, 775129918.00 ns, 23.1007 ns/op
WorkloadResult  20: 33554432 op, 769826607.00 ns, 22.9426 ns/op
WorkloadResult  21: 33554432 op, 775042596.00 ns, 23.0981 ns/op
WorkloadResult  22: 33554432 op, 768472428.00 ns, 22.9023 ns/op
WorkloadResult  23: 33554432 op, 770121976.00 ns, 22.9514 ns/op
WorkloadResult  24: 33554432 op, 776940107.00 ns, 23.1546 ns/op
WorkloadResult  25: 33554432 op, 790237678.00 ns, 23.5509 ns/op
WorkloadResult  26: 33554432 op, 819390341.00 ns, 24.4197 ns/op
WorkloadResult  27: 33554432 op, 840058236.00 ns, 25.0357 ns/op
WorkloadResult  28: 33554432 op, 881778442.00 ns, 26.2790 ns/op
WorkloadResult  29: 33554432 op, 892148378.00 ns, 26.5881 ns/op
WorkloadResult  30: 33554432 op, 926142130.00 ns, 27.6012 ns/op
WorkloadResult  31: 33554432 op, 961408277.00 ns, 28.6522 ns/op
WorkloadResult  32: 33554432 op, 1075378854.00 ns, 32.0488 ns/op
WorkloadResult  33: 33554432 op, 1039646963.00 ns, 30.9839 ns/op
WorkloadResult  34: 33554432 op, 951455931.00 ns, 28.3556 ns/op
WorkloadResult  35: 33554432 op, 981462696.00 ns, 29.2499 ns/op
WorkloadResult  36: 33554432 op, 924565943.00 ns, 27.5542 ns/op
WorkloadResult  37: 33554432 op, 917356581.00 ns, 27.3394 ns/op
WorkloadResult  38: 33554432 op, 943972778.00 ns, 28.1326 ns/op
WorkloadResult  39: 33554432 op, 911548402.00 ns, 27.1663 ns/op
WorkloadResult  40: 33554432 op, 892025625.00 ns, 26.5844 ns/op
WorkloadResult  41: 33554432 op, 952594023.00 ns, 28.3895 ns/op
WorkloadResult  42: 33554432 op, 942429445.00 ns, 28.0866 ns/op
WorkloadResult  43: 33554432 op, 907464741.00 ns, 27.0446 ns/op
WorkloadResult  44: 33554432 op, 897565070.00 ns, 26.7495 ns/op
WorkloadResult  45: 33554432 op, 887328857.00 ns, 26.4445 ns/op
WorkloadResult  46: 33554432 op, 885678630.00 ns, 26.3953 ns/op
WorkloadResult  47: 33554432 op, 909646107.00 ns, 27.1096 ns/op
WorkloadResult  48: 33554432 op, 893980607.00 ns, 26.6427 ns/op
WorkloadResult  49: 33554432 op, 883055966.00 ns, 26.3171 ns/op
WorkloadResult  50: 33554432 op, 855459265.00 ns, 25.4947 ns/op
WorkloadResult  51: 33554432 op, 854117836.00 ns, 25.4547 ns/op
WorkloadResult  52: 33554432 op, 862086722.00 ns, 25.6922 ns/op
WorkloadResult  53: 33554432 op, 861214074.00 ns, 25.6662 ns/op
WorkloadResult  54: 33554432 op, 851162762.00 ns, 25.3666 ns/op
WorkloadResult  55: 33554432 op, 843500522.00 ns, 25.1383 ns/op
WorkloadResult  56: 33554432 op, 900342521.00 ns, 26.8323 ns/op
WorkloadResult  57: 33554432 op, 873007934.00 ns, 26.0177 ns/op
WorkloadResult  58: 33554432 op, 832906972.00 ns, 24.8226 ns/op
WorkloadResult  59: 33554432 op, 887253077.00 ns, 26.4422 ns/op
WorkloadResult  60: 33554432 op, 853521695.00 ns, 25.4369 ns/op
WorkloadResult  61: 33554432 op, 860773264.00 ns, 25.6530 ns/op
WorkloadResult  62: 33554432 op, 834905184.00 ns, 24.8821 ns/op
WorkloadResult  63: 33554432 op, 858467579.00 ns, 25.5843 ns/op
WorkloadResult  64: 33554432 op, 857121340.00 ns, 25.5442 ns/op
WorkloadResult  65: 33554432 op, 852994887.00 ns, 25.4212 ns/op
WorkloadResult  66: 33554432 op, 878734389.00 ns, 26.1883 ns/op
WorkloadResult  67: 33554432 op, 911636984.00 ns, 27.1689 ns/op
WorkloadResult  68: 33554432 op, 826936826.00 ns, 24.6446 ns/op
WorkloadResult  69: 33554432 op, 805596338.00 ns, 24.0086 ns/op
WorkloadResult  70: 33554432 op, 810865138.00 ns, 24.1657 ns/op
WorkloadResult  71: 33554432 op, 815502728.00 ns, 24.3039 ns/op
WorkloadResult  72: 33554432 op, 824576737.00 ns, 24.5743 ns/op
WorkloadResult  73: 33554432 op, 812415019.00 ns, 24.2119 ns/op
WorkloadResult  74: 33554432 op, 824606462.00 ns, 24.5752 ns/op
WorkloadResult  75: 33554432 op, 847667436.00 ns, 25.2625 ns/op
WorkloadResult  76: 33554432 op, 873913759.00 ns, 26.0447 ns/op
WorkloadResult  77: 33554432 op, 1048565331.00 ns, 31.2497 ns/op
WorkloadResult  78: 33554432 op, 923748209.00 ns, 27.5298 ns/op
WorkloadResult  79: 33554432 op, 856474216.00 ns, 25.5249 ns/op
WorkloadResult  80: 33554432 op, 927402269.00 ns, 27.6387 ns/op
WorkloadResult  81: 33554432 op, 889522083.00 ns, 26.5098 ns/op
WorkloadResult  82: 33554432 op, 864524118.00 ns, 25.7648 ns/op
WorkloadResult  83: 33554432 op, 872407290.00 ns, 25.9998 ns/op
WorkloadResult  84: 33554432 op, 904161196.00 ns, 26.9461 ns/op
WorkloadResult  85: 33554432 op, 1047349466.00 ns, 31.2134 ns/op
WorkloadResult  86: 33554432 op, 951144737.00 ns, 28.3463 ns/op
WorkloadResult  87: 33554432 op, 986564143.00 ns, 29.4019 ns/op
WorkloadResult  88: 33554432 op, 997904309.00 ns, 29.7399 ns/op
WorkloadResult  89: 33554432 op, 966278779.00 ns, 28.7974 ns/op
WorkloadResult  90: 33554432 op, 982069142.00 ns, 29.2679 ns/op
WorkloadResult  91: 33554432 op, 954534409.00 ns, 28.4473 ns/op
WorkloadResult  92: 33554432 op, 974617578.00 ns, 29.0459 ns/op
WorkloadResult  93: 33554432 op, 934150314.00 ns, 27.8398 ns/op
WorkloadResult  94: 33554432 op, 950234554.00 ns, 28.3192 ns/op
WorkloadResult  95: 33554432 op, 1075896953.00 ns, 32.0642 ns/op
WorkloadResult  96: 33554432 op, 939713011.00 ns, 28.0056 ns/op
WorkloadResult  97: 33554432 op, 965394783.00 ns, 28.7710 ns/op
WorkloadResult  98: 33554432 op, 917536131.00 ns, 27.3447 ns/op
GC:  984 0 0 6174015488 33554432
Threading:  2 0 33554432


Mean = 25.737 ns, StdErr = 0.274 ns (1.07%), N = 98, StdDev = 2.716 ns
Min = 19.711 ns, Q1 = 23.665 ns, Median = 25.729 ns, Q3 = 27.548 ns, Max = 32.064 ns
IQR = 3.883 ns, LowerFence = 17.841 ns, UpperFence = 33.372 ns
ConfidenceInterval = [24.806 ns; 26.668 ns] (CI 99.9%), Margin = 0.931 ns (3.62% of Mean)
Skewness = -0.01, Kurtosis = 2.69, MValue = 3.93

// **************************
// Benchmark: MemoryDiagnoser.arr: Job-YMSZYJ(Toolchain=InProcessEmitToolchain)
// *** Execute ***
// Launch: 1 / 1
// ! Failed to set up priority High for process System.Diagnostics.Process (dotnet). Make sure you have the right permissions. Message: Permission denied

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.8 (CoreCLR 4.700.20.41105, CoreFX 4.700.20.41903), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-YMSZYJ(Toolchain=InProcessEmitToolchain)

OverheadJitting  1: 1 op, 837448.00 ns, 837.4480 us/op
WorkloadJitting  1: 1 op, 365583.00 ns, 365.5830 us/op

OverheadJitting  2: 16 op, 1144576.00 ns, 71.5360 us/op
WorkloadJitting  2: 16 op, 1029668.00 ns, 64.3543 us/op

WorkloadPilot    1: 16 op, 5499.00 ns, 343.6875 ns/op
WorkloadPilot    2: 32 op, 3624.00 ns, 113.2500 ns/op
WorkloadPilot    3: 64 op, 5912.00 ns, 92.3750 ns/op
WorkloadPilot    4: 128 op, 7206.00 ns, 56.2969 ns/op
WorkloadPilot    5: 256 op, 9040.00 ns, 35.3125 ns/op
WorkloadPilot    6: 512 op, 11674.00 ns, 22.8008 ns/op
WorkloadPilot    7: 1024 op, 24375.00 ns, 23.8037 ns/op
WorkloadPilot    8: 2048 op, 40862.00 ns, 19.9521 ns/op
WorkloadPilot    9: 4096 op, 154819.00 ns, 37.7976 ns/op
WorkloadPilot   10: 8192 op, 164484.00 ns, 20.0786 ns/op
WorkloadPilot   11: 16384 op, 331150.00 ns, 20.2118 ns/op
WorkloadPilot   12: 32768 op, 653829.00 ns, 19.9533 ns/op
WorkloadPilot   13: 65536 op, 2564295.00 ns, 39.1280 ns/op
WorkloadPilot   14: 131072 op, 4577916.00 ns, 34.9267 ns/op
WorkloadPilot   15: 262144 op, 9348943.00 ns, 35.6634 ns/op
WorkloadPilot   16: 524288 op, 16622308.00 ns, 31.7045 ns/op
WorkloadPilot   17: 1048576 op, 28431250.00 ns, 27.1142 ns/op
WorkloadPilot   18: 2097152 op, 57500515.00 ns, 27.4184 ns/op
WorkloadPilot   19: 4194304 op, 110537074.00 ns, 26.3541 ns/op
WorkloadPilot   20: 8388608 op, 205391119.00 ns, 24.4845 ns/op
WorkloadPilot   21: 16777216 op, 366242879.00 ns, 21.8298 ns/op
WorkloadPilot   22: 33554432 op, 683638683.00 ns, 20.3740 ns/op

OverheadWarmup   1: 33554432 op, 162596964.00 ns, 4.8458 ns/op
OverheadWarmup   2: 33554432 op, 159571527.00 ns, 4.7556 ns/op
OverheadWarmup   3: 33554432 op, 155402943.00 ns, 4.6314 ns/op
OverheadWarmup   4: 33554432 op, 157523802.00 ns, 4.6946 ns/op
OverheadWarmup   5: 33554432 op, 157627626.00 ns, 4.6977 ns/op
OverheadWarmup   6: 33554432 op, 161100589.00 ns, 4.8012 ns/op
OverheadWarmup   7: 33554432 op, 157945890.00 ns, 4.7072 ns/op
OverheadWarmup   8: 33554432 op, 155341634.00 ns, 4.6295 ns/op
OverheadWarmup   9: 33554432 op, 156573854.00 ns, 4.6663 ns/op
OverheadWarmup  10: 33554432 op, 157879214.00 ns, 4.7052 ns/op

OverheadActual   1: 33554432 op, 154934185.00 ns, 4.6174 ns/op
OverheadActual   2: 33554432 op, 155776177.00 ns, 4.6425 ns/op
OverheadActual   3: 33554432 op, 155862105.00 ns, 4.6451 ns/op
OverheadActual   4: 33554432 op, 158311233.00 ns, 4.7180 ns/op
OverheadActual   5: 33554432 op, 153129139.00 ns, 4.5636 ns/op
OverheadActual   6: 33554432 op, 150685994.00 ns, 4.4908 ns/op
OverheadActual   7: 33554432 op, 150914722.00 ns, 4.4976 ns/op
OverheadActual   8: 33554432 op, 151909991.00 ns, 4.5273 ns/op
OverheadActual   9: 33554432 op, 150975217.00 ns, 4.4994 ns/op
OverheadActual  10: 33554432 op, 152286007.00 ns, 4.5385 ns/op
OverheadActual  11: 33554432 op, 152889465.00 ns, 4.5565 ns/op
OverheadActual  12: 33554432 op, 151204702.00 ns, 4.5063 ns/op
OverheadActual  13: 33554432 op, 150280056.00 ns, 4.4787 ns/op
OverheadActual  14: 33554432 op, 151843670.00 ns, 4.5253 ns/op
OverheadActual  15: 33554432 op, 154078491.00 ns, 4.5919 ns/op

WorkloadWarmup   1: 33554432 op, 631215025.00 ns, 18.8117 ns/op
WorkloadWarmup   2: 33554432 op, 677130434.00 ns, 20.1801 ns/op
WorkloadWarmup   3: 33554432 op, 637385908.00 ns, 18.9956 ns/op
WorkloadWarmup   4: 33554432 op, 627139798.00 ns, 18.6902 ns/op
WorkloadWarmup   5: 33554432 op, 637975319.00 ns, 19.0131 ns/op
WorkloadWarmup   6: 33554432 op, 544677048.00 ns, 16.2326 ns/op

WorkloadActual   1: 33554432 op, 563446715.00 ns, 16.7920 ns/op
WorkloadActual   2: 33554432 op, 647795885.00 ns, 19.3058 ns/op
WorkloadActual   3: 33554432 op, 643817459.00 ns, 19.1873 ns/op
WorkloadActual   4: 33554432 op, 558352601.00 ns, 16.6402 ns/op
WorkloadActual   5: 33554432 op, 563746782.00 ns, 16.8010 ns/op
WorkloadActual   6: 33554432 op, 634369020.00 ns, 18.9057 ns/op
WorkloadActual   7: 33554432 op, 580072802.00 ns, 17.2875 ns/op
WorkloadActual   8: 33554432 op, 615875773.00 ns, 18.3545 ns/op
WorkloadActual   9: 33554432 op, 647557742.00 ns, 19.2987 ns/op
WorkloadActual  10: 33554432 op, 587273448.00 ns, 17.5021 ns/op
WorkloadActual  11: 33554432 op, 583688495.00 ns, 17.3953 ns/op
WorkloadActual  12: 33554432 op, 564907423.00 ns, 16.8356 ns/op
WorkloadActual  13: 33554432 op, 553017398.00 ns, 16.4812 ns/op
WorkloadActual  14: 33554432 op, 550534316.00 ns, 16.4072 ns/op
WorkloadActual  15: 33554432 op, 594236589.00 ns, 17.7096 ns/op
WorkloadActual  16: 33554432 op, 641743152.00 ns, 19.1254 ns/op
WorkloadActual  17: 33554432 op, 584682077.00 ns, 17.4249 ns/op
WorkloadActual  18: 33554432 op, 562352589.00 ns, 16.7594 ns/op
WorkloadActual  19: 33554432 op, 570399321.00 ns, 16.9992 ns/op
WorkloadActual  20: 33554432 op, 552269795.00 ns, 16.4589 ns/op
WorkloadActual  21: 33554432 op, 547741265.00 ns, 16.3240 ns/op
WorkloadActual  22: 33554432 op, 547577810.00 ns, 16.3191 ns/op
WorkloadActual  23: 33554432 op, 549974752.00 ns, 16.3905 ns/op
WorkloadActual  24: 33554432 op, 606317877.00 ns, 18.0697 ns/op
WorkloadActual  25: 33554432 op, 717384058.00 ns, 21.3797 ns/op
WorkloadActual  26: 33554432 op, 635604256.00 ns, 18.9425 ns/op
WorkloadActual  27: 33554432 op, 589468914.00 ns, 17.5675 ns/op
WorkloadActual  28: 33554432 op, 584582012.00 ns, 17.4219 ns/op
